kabupaten,sapi_potong,sapi_perah,kerbau,kambing,domba,tahun,E_enteric_sapi_potong,E_manure_CH4_sapi_potong,E_manure_N2O_sapi_potong,E_enteric_sapi_perah,E_manure_CH4_sapi_perah,E_manure_N2O_sapi_perah,E_enteric_kerbau,E_manure_CH4_kerbau,E_manure_N2O_kerbau,E_enteric_kambing,E_manure_CH4_kambing,E_manure_N2O_kambing,E_enteric_domba,E_manure_CH4_domba,E_manure_N2O_domba,total_CH4_t,total_N2O_t,total_CO2eq_t,tier,total_ternak,ghg_intensity
Pangandaran,14677.0,0.0,242.0,14751.0,49802.0,2024,689.819,14.677,9.686819999999999,0.0,0.0,0.0,13.31,0.484,0.121,73.755,2.50767,2.36016,249.01,13.944560000000001,7.96832,1057.5072299999997,20.1363,34946.321939999994,MERAH,79472.0,0.43973125050332185
Kota Bogor,386.0,724.0,42.0,2400.0,5623.0,2024,18.142,0.386,0.25476000000000004,85.432,11.584,0.85432,2.31,0.084,0.021,12.0,0.40800000000000003,0.384,28.115,1.57444,0.89968,160.03544000000002,2.41376,5120.63872,MERAH,9175.0,0.5581077623978201
Kota Sukabumi,608.0,39.0,0.0,37.0,1235.0,2024,28.576,0.608,0.40128,4.602,0.624,0.04602,0.0,0.0,0.0,0.185,0.0062900000000000005,0.00592,6.175,0.3458,0.1976,41.12209,0.65082,1323.88582,MERAH,1919.0,0.6898831787389265
Kota Bandung,1452.0,254.0,4.0,95.0,4452.0,2024,68.244,1.452,0.9583200000000001,29.972,4.064,0.29972,0.22,0.008,0.002,0.475,0.01615,0.015200000000000002,22.26,1.2465600000000001,0.7123200000000001,127.95770999999999,1.9875600000000002,4109.5192799999995,MERAH,6257.0,0.6567874828192424
Kota Cirebon,667.0,0.0,0.0,3874.0,6408.0,2024,31.349,0.667,0.44022,0.0,0.0,0.0,0.0,0.0,0.0,19.37,0.65858,0.6198400000000001,32.04,1.7942400000000003,1.02528,85.87881999999999,2.08534,2957.2220599999996,MERAH,10949.0,0.27009060736140283
Kota Bekasi,2034.0,18.0,6.0,6778.0,3190.0,2024,95.598,2.034,1.34244,2.124,0.288,0.02124,0.33,0.012,0.003,33.89,1.15226,1.08448,15.95,0.8932,0.5104000000000001,152.27146000000002,2.96156,5048.414280000001,MERAH,12026.0,0.4197916414435391
Kota Depok,2240.0,470.0,28.0,2893.0,1957.0,2024,105.28,2.24,1.4784000000000002,55.46,7.52,0.5546,1.54,0.056,0.014,14.465,0.4918100000000001,0.46288,9.785,0.54796,0.31312,197.38576999999998,2.8230000000000004,6274.89656,MERAH,7588.0,0.8269499947285187
Kota Cimahi,226.0,648.0,0.0,60.0,2550.0,2024,10.622,0.226,0.14916,76.464,10.368,0.76464,0.0,0.0,0.0,0.3,0.0102,0.0096,12.75,0.7140000000000001,0.408,111.45419999999999,1.3314,3473.5385999999994,MERAH,3484.0,0.9969973019517794
Kota Tasikmalaya,2779.0,202.0,671.0,3355.0,13416.0,2024,130.613,2.779,1.83414,23.836,3.232,0.23836,36.905,1.342,0.3355,16.775,0.57035,0.5367999999999999,67.08,3.7564800000000003,2.14656,286.88883000000004,5.09136,9382.09764,MERAH,20423.0,0.45938880869607795
Kota Banjar,746.0,0.0,4.0,3723.0,3734.0,2024,35.062,0.746,0.49236,0.0,0.0,0.0,0.22,0.008,0.002,18.615,0.6329100000000001,0.5956800000000001,18.67,1.0455200000000002,0.5974400000000001,74.99943,1.6874800000000003,2547.1662400000005,MERAH,8207.0,0.31036508346533453
