kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Karawang,4,26.8,82.78,78.13,31.72,123.8,0.5677,1
Kota Bandung,4,22.58,86.51,71.55,35.1,342.6,0.3913,0
Kota Bogor,4,24.8,84.16,75.02,35.9,385.0,0.5282,1
Kota Cirebon,4,25.93,83.96,76.86,34.39,251.3,0.4759,1
Kota Sukabumi,4,23.04,85.99,72.28,32.55,354.7,0.5787,1
Kuningan,4,24.32,87.21,74.53,27.73,337.8,0.7546,1
Majalengka,4,24.58,86.3,74.86,29.23,347.9,0.6658,1
Purwakarta,4,25.02,84.87,75.44,29.21,295.3,0.7263,1
Subang,4,25.68,84.51,76.5,30.55,235.0,0.6668,1
Sukabumi,4,23.9,86.93,73.8,27.1,278.9,0.8007,1
Sumedang,4,23.71,87.02,73.48,28.41,400.6,0.7639,1
Kota Bekasi,4,26.69,81.7,77.82,38.83,145.3,0.3823,1
Kota Depok,4,26.14,82.48,77.03,37.94,239.5,0.458,1
Bandung,5,21.5,86.24,69.74,25.73,171.8,0.7395,0
Kota Cimahi,5,23.01,86.4,72.26,32.73,148.2,0.3615,1
Kota Tasikmalaya,5,23.47,88.18,73.18,27.76,207.4,0.6765,1
Tasikmalaya,5,23.78,87.1,73.62,25.79,202.5,0.8294,1
Ciamis,5,24.55,85.86,74.78,26.45,204.0,0.7899,1
Kota Banjar,5,25.5,85.62,76.32,28.56,162.1,0.6811,1
Bekasi,5,27.15,81.54,78.55,32.17,101.3,0.5582,1
Bogor,5,24.51,85.28,74.64,28.47,214.6,0.7374,1
Cianjur,5,23.56,86.08,73.15,26.51,208.9,0.8052,1
Cirebon,5,26.83,78.88,77.7,31.43,84.4,0.5904,1
Garut,5,22.17,86.28,70.86,25.33,188.2,0.8187,0
Indramayu,5,27.16,78.25,78.16,31.04,70.2,0.5297,1
Karawang,5,27.17,81.25,78.54,30.36,87.5,0.6375,1
Kota Bandung,5,22.71,86.16,71.74,33.04,155.0,0.3793,0
Kota Bogor,5,25.04,85.5,75.56,33.65,263.5,0.5217,1
Kota Cirebon,5,26.28,78.57,76.8,34.21,89.5,0.471,1
Kota Sukabumi,5,23.31,85.84,72.71,30.91,237.8,0.5958,1
Kuningan,5,24.35,83.81,74.23,27.17,155.1,0.7901,1
Majalengka,5,24.79,82.29,74.81,28.45,124.2,0.7164,1
Purwakarta,5,25.28,84.51,75.85,28.06,151.8,0.7418,1
Subang,5,26.0,81.85,76.72,29.36,114.5,0.654,1
Sukabumi,5,24.27,85.85,74.31,26.73,202.5,0.8025,1
Sumedang,5,23.92,83.87,73.54,27.36,156.1,0.7764,1
Kota Bekasi,5,27.01,81.6,78.33,35.71,122.4,0.3843,1
Kota Depok,5,26.38,83.51,77.53,35.01,172.4,0.4645,1
Bandung,6,21.38,85.18,69.46,25.13,89.0,0.7136,0
Kota Cimahi,6,22.92,85.2,72.01,31.75,56.7,0.3451,1
Kota Tasikmalaya,6,23.0,90.21,72.58,26.95,136.2,0.6603,1
Tasikmalaya,6,23.27,89.15,72.93,25.37,100.7,0.8138,1
Ciamis,6,24.07,88.02,74.18,25.66,109.8,0.8019,1
Kota Banjar,6,24.93,88.23,75.65,27.45,82.5,0.7167,1
Bekasi,6,26.95,80.27,78.06,32.1,93.0,0.5163,1
Bogor,6,24.36,83.12,74.2,27.95,190.3,0.7252,1
Cianjur,6,23.2,86.33,72.58,25.7,125.9,0.7847,1
Cirebon,6,26.93,76.66,77.58,30.78,103.8,0.5567,1
Garut,6,21.81,87.38,70.35,24.52,87.7,0.7925,0
Indramayu,6,27.34,75.05,78.03,30.72,102.4,0.4924,1
Karawang,6,26.99,79.95,78.09,30.47,83.5,0.586,1
Kota Bandung,6,22.7,84.31,71.58,31.89,64.4,0.3588,0
Kota Bogor,6,24.95,83.28,75.17,32.45,266.6,0.5143,1
Kota Cirebon,6,26.35,76.65,76.68,33.05,111.8,0.4561,1
Kota Sukabumi,6,23.21,83.6,72.35,30.28,127.3,0.5735,1
Kuningan,6,24.39,81.94,74.13,26.77,106.4,0.7744,1
Majalengka,6,24.92,79.79,74.76,28.24,95.9,0.7099,1
Purwakarta,6,25.09,82.86,75.36,27.73,121.8,0.7303,1
Subang,6,25.94,79.67,76.38,29.32,72.6,0.611,1
