kab_kota,bulan,T_celsius,RH_persen,THI,LST_celsius,curah_hujan,NDVI,risk_category
Kota Bandung,4,23.25,89.29,72.91,33.89,385.3,0.3773,1
Kota Bogor,4,25.49,88.09,76.57,34.99,631.3,0.5053,1
Kota Cirebon,4,26.75,84.5,78.27,35.6,250.8,0.4839,1
Kota Sukabumi,4,23.83,89.06,73.88,32.81,529.9,0.5776,1
Kuningan,4,25.15,88.24,76.03,29.2,332.6,0.7883,1
Majalengka,4,25.38,87.85,76.36,29.95,306.2,0.684,1
Purwakarta,4,25.57,88.44,76.76,28.94,415.6,0.7214,1
Subang,4,26.26,87.46,77.81,30.1,311.9,0.6891,1
Sukabumi,4,24.73,89.21,75.42,27.59,439.8,0.795,1
Sumedang,4,24.44,89.19,74.92,27.97,366.3,0.7682,1
Kota Bekasi,4,27.23,86.11,79.26,36.59,233.9,0.3909,2
Kota Depok,4,26.73,87.19,78.55,36.34,428.0,0.465,1
Bandung,5,22.15,86.17,70.81,25.86,50.9,0.7194,0
Kota Cimahi,5,23.61,86.44,73.27,32.68,37.7,0.3529,1
Kota Tasikmalaya,5,23.86,88.94,73.93,27.68,72.6,0.658,1
Tasikmalaya,5,24.14,88.1,74.31,25.91,65.7,0.8147,1
Ciamis,5,24.86,87.78,75.5,26.73,69.1,0.7921,1
Kota Banjar,5,25.75,88.03,77.01,28.86,63.8,0.6825,1
Bekasi,5,27.71,81.55,79.45,32.12,53.1,0.5431,2
Bogor,5,25.15,84.68,75.65,28.5,144.4,0.7337,1
Cianjur,5,24.05,87.05,74.06,26.89,74.6,0.783,1
Cirebon,5,27.5,78.27,78.7,30.47,65.5,0.6353,1
Garut,5,22.66,86.74,71.72,25.41,62.7,0.7966,0
Indramayu,5,28.04,75.38,79.16,31.11,63.8,0.5867,2
Karawang,5,27.75,80.98,79.45,30.55,53.3,0.6243,2
Kota Bandung,5,23.39,85.74,72.84,32.48,37.3,0.3728,1
Kota Bogor,5,25.68,85.05,76.57,32.5,170.6,0.5239,1
Kota Cirebon,5,26.9,78.49,77.76,32.65,60.2,0.4855,1
Kota Sukabumi,5,23.89,86.66,73.76,30.55,110.4,0.5574,1
Kuningan,5,24.95,84.04,75.25,26.8,87.1,0.7751,1
Majalengka,5,25.49,81.16,75.82,29.04,52.7,0.6766,1
Purwakarta,5,25.93,83.22,76.77,28.91,62.5,0.7203,1
Subang,5,26.74,79.92,77.69,30.26,55.6,0.6486,1
Sukabumi,5,24.73,87.13,75.21,26.93,106.6,0.7906,1
Sumedang,5,24.63,82.71,74.59,27.81,57.8,0.763,1
Kota Bekasi,5,27.6,81.22,79.23,35.38,53.8,0.3826,2
Kota Depok,5,27.02,82.74,78.49,34.69,90.1,0.4725,1
Bandung,6,21.49,85.45,69.67,24.62,83.5,0.7248,0
Kota Cimahi,6,22.97,85.32,72.11,31.07,50.3,0.3492,1
Kota Tasikmalaya,6,23.54,89.47,73.43,25.67,102.5,0.6591,1
Tasikmalaya,6,23.79,88.63,73.78,24.4,116.2,0.8086,1
Ciamis,6,24.61,87.39,75.03,25.95,109.8,0.7667,1
Kota Banjar,6,25.51,87.33,76.54,28.01,71.2,0.6656,1
Bekasi,6,26.83,82.98,78.2,31.74,84.3,0.5237,1
Bogor,6,24.41,84.82,74.44,27.68,174.7,0.7359,1
Cianjur,6,23.44,86.72,73.01,25.57,181.3,0.7949,1
Cirebon,6,27.02,78.54,77.96,30.06,84.2,0.5747,1
Garut,6,22.2,86.77,70.94,24.26,122.4,0.8028,0
Indramayu,6,27.44,76.02,78.3,30.79,66.0,0.4668,1
Karawang,6,26.81,82.98,78.17,30.03,78.6,0.6025,1
Kota Bandung,6,22.8,83.97,71.71,31.13,60.7,0.3684,0
Kota Bogor,6,25.0,84.57,75.39,31.65,208.2,0.5081,1
Kota Cirebon,6,26.47,78.37,77.07,30.84,96.8,0.495,1
Kota Sukabumi,6,23.26,85.49,72.6,28.77,182.1,0.5769,1
Kuningan,6,24.66,82.83,74.65,25.86,100.1,0.7831,1
Majalengka,6,25.06,80.95,75.11,27.73,75.3,0.6987,1
Purwakarta,6,25.06,84.37,75.46,27.39,112.4,0.7276,1
Subang,6,25.89,81.35,76.49,29.12,59.2,0.6132,1
Sukabumi,6,24.18,86.49,74.23,25.94,224.5,0.7892,1
Sumedang,6,24.15,81.62,73.7,26.28,67.6,0.7757,1
Kota Bekasi,6,26.74,82.63,78.01,34.73,81.7,0.38,1
Kota Depok,6,26.18,83.75,77.24,33.04,138.1,0.4702,1
Bandung,7,20.93,81.75,68.5,24.6,121.9,0.7145,0
Kota Cimahi,7,22.57,81.55,71.15,30.92,95.1,0.3438,0
Kota Tasikmalaya,7,22.24,88.42,71.14,26.12,128.8,0.6814,0
Tasikmalaya,7,22.63,87.05,71.69,24.78,130.4,0.8112,0
Ciamis,7,23.53,84.85,72.99,25.27,120.5,0.7895,1
Kota Banjar,7,24.44,84.6,74.47,26.99,98.9,0.7218,1
Bekasi,7,26.25,79.5,76.85,31.28,94.5,0.4936,1
Bogor,7,23.97,81.21,73.38,27.6,150.4,0.73,1
Cianjur,7,22.71,84.1,71.58,25.23,159.5,0.7885,0
Cirebon,7,26.62,71.05,76.43,29.67,72.0,0.5497,1
Garut,7,21.22,84.53,69.16,24.34,118.9,0.7996,0
Indramayu,7,27.21,67.21,76.84,29.18,89.5,0.4595,1
Karawang,7,26.24,79.16,76.8,29.76,93.3,0.5517,1
Kota Bandung,7,22.48,78.48,70.75,30.81,94.1,0.3621,0
Kota Bogor,7,24.69,80.94,74.51,31.92,198.4,0.5039,1
